work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size,salary_in_usd_adjusted,log_salary_usd,simplified_job_title,employee_region,company_region,cross_border_work,cross_region_work,is_remote,salary_quartile,experience_level_encoded,company_size_encoded
2023,Applied Scientist,Data Science and Research,USD,260000,260000.0,United States,Senior,Full-time,In-person,United States,L,260000.0,12.468436909997665,Other Data Professional,North America,North America,False,False,0,Very High,2,2
2023,Applied Scientist,Data Science and Research,USD,136000,136000.0,United States,Senior,Full-time,In-person,United States,L,136000.0,11.820410164718188,Other Data Professional,North America,North America,False,False,0,Medium,2,2
2023,Data Scientist,Data Science and Research,USD,240000,240000.0,United States,Senior,Full-time,In-person,United States,M,240000.0,12.388394202324129,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Scientist,Data Science and Research,USD,187000,187000.0,United States,Senior,Full-time,In-person,United States,M,187000.0,12.138863895836725,Data Scientist,North America,North America,False,False,0,High,2,1
2023,Applied Scientist,Data Science and Research,USD,20000,20000.0,Nigeria,Mid-level,Full-time,Remote,United States,L,20000.0,9.903487552536127,Other Data Professional,Africa,North America,True,True,1,Low,1,2
2023,Machine Learning Engineer,Machine Learning and AI,USD,210000,210000.0,United States,Senior,Full-time,In-person,United States,M,210000.0,12.254862809699606,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,190000,190000.0,United States,Senior,Full-time,In-person,United States,M,190000.0,12.154779351142624,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Data Quality Analyst,Data Quality and Operations,USD,95000,95000.0,United States,Mid-level,Full-time,In-person,United States,M,95000.0,11.461632170582678,Other Data Professional,North America,North America,False,False,0,Low,1,1
2023,Data Quality Analyst,Data Quality and Operations,USD,70000,70000.0,United States,Mid-level,Full-time,In-person,United States,M,70000.0,11.156250521031495,Other Data Professional,North America,North America,False,False,0,Low,1,1
2023,Data Scientist,Data Science and Research,USD,195000,195000.0,United States,Senior,Full-time,Remote,United States,M,195000.0,12.180754837545884,Data Scientist,North America,North America,False,False,1,Very High,2,1
2023,Data Scientist,Data Science and Research,USD,119000,119000.0,United States,Senior,Full-time,Remote,United States,M,119000.0,11.686878772093667,Data Scientist,North America,North America,False,False,1,Medium,2,1
2023,Applied Scientist,Data Science and Research,USD,216000,216000.0,United States,Senior,Full-time,In-person,United States,M,216000.0,12.283033686666302,Other Data Professional,North America,North America,False,False,0,Very High,2,1
2023,Applied Scientist,Data Science and Research,USD,184000,184000.0,United States,Senior,Full-time,In-person,United States,M,184000.0,12.122691036591123,Other Data Professional,North America,North America,False,False,0,High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,200000,200000.0,United States,Senior,Full-time,Remote,United States,M,200000.0,12.206072645530174,ML/AI Engineer,North America,North America,False,False,1,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,160000,160000.0,United States,Senior,Full-time,Remote,United States,M,160000.0,11.982929094215963,ML/AI Engineer,North America,North America,False,False,1,High,2,1
2023,Data Analyst,Data Analysis,USD,80000,80000.0,United States,Senior,Full-time,In-person,United States,M,80000.0,11.289781913656018,Data Analyst,North America,North America,False,False,0,Low,2,1
2023,Data Analyst,Data Analysis,USD,70000,70000.0,United States,Senior,Full-time,In-person,United States,M,70000.0,11.156250521031495,Data Analyst,North America,North America,False,False,0,Low,2,1
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000.0,United States,Senior,Full-time,In-person,United States,L,185000.0,12.128111104060462,BI Developer,North America,North America,False,False,0,High,2,2
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600.0,United States,Senior,Full-time,In-person,United States,L,79600.0,11.284769371832475,BI Developer,North America,North America,False,False,0,Low,2,2
2023,Data Analyst,Data Analysis,GBP,60000,73824.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,73824.0,11.20943916097348,Data Analyst,Europe,Europe,False,False,0,Low,1,1
2023,Data Analyst,Data Analysis,GBP,50000,61520.0,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M,61520.0,11.027117604179526,Data Analyst,Europe,Europe,False,False,0,Low,1,1
2023,Data Science Engineer,Data Science and Research,USD,266450,266450.0,United States,Senior,Full-time,In-person,United States,M,266450.0,12.492941887724928,Other Data Professional,North America,North America,False,False,0,Very High,2,1
2023,Data Science Engineer,Data Science and Research,USD,177700,177700.0,United States,Senior,Full-time,In-person,United States,M,177700.0,12.087852014142742,Other Data Professional,North America,North America,False,False,0,High,2,1
2023,Data Scientist,Data Science and Research,USD,245000,245000.0,United States,Senior,Full-time,In-person,United States,M,245000.0,12.409013489526863,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Scientist,Data Science and Research,USD,185000,185000.0,United States,Senior,Full-time,In-person,United States,M,185000.0,12.128111104060462,Data Scientist,North America,North America,False,False,0,High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,247500,247500.0,United States,Senior,Full-time,In-person,United States,M,247500.0,12.419165860990882,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,172200,172200.0,United States,Senior,Full-time,In-person,United States,M,172200.0,12.056411870975767,ML/AI Engineer,North America,North America,False,False,0,High,2,1
2023,Applied Scientist,Data Science and Research,USD,222200,222200.0,United States,Senior,Full-time,In-person,United States,L,222200.0,12.311333156187667,Other Data Professional,North America,North America,False,False,0,Very High,2,2
2023,Applied Scientist,Data Science and Research,USD,136000,136000.0,United States,Senior,Full-time,In-person,United States,L,136000.0,11.820410164718188,Other Data Professional,North America,North America,False,False,0,Medium,2,2
2023,Data Operations Specialist,Data Quality and Operations,USD,55720,55720.0,United States,Senior,Full-time,Remote,United States,M,55720.0,10.928094427893742,Other Data Professional,North America,North America,False,False,1,Low,2,1
2023,Data Operations Specialist,Data Quality and Operations,USD,50700,50700.0,United States,Senior,Full-time,Remote,United States,M,50700.0,10.833681189579275,Other Data Professional,North America,North America,False,False,1,Low,2,1
2021,Business Data Analyst,Data Analysis,USD,56000,56000.0,Ghana,Mid-level,Part-time,Remote,United States,M,59640.0,10.996081768878675,Data Analyst,Africa,North America,True,True,1,Low,1,1
2023,Research Engineer,Data Science and Research,USD,370000,308257.5,United States,Senior,Full-time,In-person,United States,M,308257.5,12.638690751630843,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Research Engineer,Data Science and Research,USD,200000,200000.0,United States,Senior,Full-time,In-person,United States,M,200000.0,12.206072645530174,Data Scientist,North America,North America,False,False,0,Very High,2,1
2023,Data Engineer,Data Engineering,USD,196000,196000.0,United States,Senior,Full-time,In-person,United States,M,196000.0,12.185869938212655,Data Engineer,North America,North America,False,False,0,Very High,2,1
2023,Data Engineer,Data Engineering,USD,121000,121000.0,United States,Senior,Full-time,In-person,United States,M,121000.0,11.703545824578878,Data Engineer,North America,North America,False,False,0,Medium,2,1
2023,Business Intelligence Engineer,BI and Visualization,USD,202800,202800.0,United States,Senior,Full-time,In-person,United States,L,202800.0,12.219975550699164,BI Developer,North America,North America,False,False,0,Very High,2,2
2023,Business Intelligence Engineer,BI and Visualization,USD,104300,104300.0,United States,Senior,Full-time,In-person,United States,L,104300.0,11.555026640988864,BI Developer,North America,North America,False,False,0,Low,2,2
2023,Data Architect,Data Architecture and Modeling,USD,135000,135000.0,United States,Mid-level,Full-time,In-person,United States,M,135000.0,11.813030057420567,Data Architect,North America,North America,False,False,0,Medium,1,1
2023,Data Architect,Data Architecture and Modeling,USD,115000,115000.0,United States,Mid-level,Full-time,In-person,United States,M,115000.0,11.652687407345388,Data Architect,North America,North America,False,False,0,Medium,1,1
2023,Machine Learning Software Engineer,Machine Learning and AI,USD,302000,302000.0,United States,Senior,Full-time,In-person,United States,M,302000.0,12.618182296357007,ML/AI Engineer,North America,North America,False,False,0,Very High,2,1
2023,Machine Learning Software Engineer,Machine Learning and AI,USD,189000,189000.0,United States,Senior,Full-time,In-person,United States,M,189000.0,12.14950229404178,ML/AI Engineer,North America,North America,False,False,0,High,2,1
2023,Data Analyst,Data Analysis,USD,65000,65000.0,United States,Mid-level,Full-time,Remote,United States,M,65000.0,11.082142548877775,Data Analyst,North America,North America,False,False,1,Low,1,1
2023,Data Analyst,Data Analysis,USD,55000,55000.0,United States,Mid-level,Full-time,Remote,United States,M,55000.0,10.915088464214607,Data Analyst,North America,North America,False,False,1,Low,1,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,220000,220000.0,United States,Senior,Full-time,Remote,United States,M,220000.0,12.301382825334498,ML/AI Engineer,North America,North America,False,False,1,Very High,2,1
2023,Machine Learning Engineer,Machine Learning and AI,USD,170000,170000.0,United States,Senior,Full-time,Remote,United States,M,170000.0,12.043553716032399,ML/AI Engineer,North America,North America,False,False,1,High,2,1
2023,Business Intelligence Engineer,BI and Visualization,USD,185000,185000.0,United States,Senior,Full-time,In-person,United States,L,185000.0,12.128111104060462,BI Developer,North America,North America,False,False,0,High,2,2
2023,Business Intelligence Engineer,BI and Visualization,USD,79600,79600.0,United States,Senior,Full-time,In-person,United States,L,79600.0,11.284769371832475,BI Developer,North America,North America,False,False,0,Low,2,2
2023,Data Analyst,Data Analysis,USD,110000,110000.0,United States,Senior,Full-time,Remote,United States,M,110000.0,11.608235644774552,Data Analyst,North America,North America,False,False,1,Medium,2,1
2023,Data Analyst,Data Analysis,USD,75000,75000.0,United States,Senior,Full-time,Remote,United States,M,75000.0,11.225243392518447,Data Analyst,North America,North America,False,False,1,Low,2,1
2023,BI Analyst,BI and Visualization,USD,150000,150000.0,United States,Senior,Full-time,Remote,United States,M,150000.0,11.918390573078392,BI Developer,North America,North America,False,False,1,High,2,1
2023,BI Analyst,BI and Visualization,USD,93000,93000.0,United States,Senior,Full-time,Remote,United States,M,93000.0,11.440354772135393,BI Developer,North America,North America,False,False,1,Low,2,1
2022,Data Science Manager,Data Science and Research,USD,190000,190000.0,United States,Senior,Full-time,Remote,United States,L,196649.99999999997,12.189180777859955,Data Leadership,North America,North America,False,False,1,Very High,2,2
